summary,projectName,text,acceptanceCriteria,storyId,parentSummary,statusCategory,priority,risk,createdDate,lastModifiedDate
View Request Status Lab,Health Care,"As a user, I want to view request status lab so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-83,Registration Management,In Progress,P1,Critical,10/01/22,23/12/23
Nurse Activities Daily Assessment,Health Care,"As a user, I want to nurse activities daily assessment so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-173,Digital OP Management,Done,P1,Critical,11/01/22,30/12/23
Reports View Reports Summary,Health Care,"As a user, I want to reports view reports summary so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-179,Wards - Doctors Management,In Progress,P1,Critical,07/01/22,31/12/23
Reports Clinical Reports Diet,Health Care,"As a user, I want to reports clinical reports diet so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-131,Wards - Doctors Management,To Do,P2,Critical,08/01/22,30/12/23
Organization Master Financial Structure,Health Care,"As a user, I want to organization master financial structure so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-116,Emergency Management,In Progress,P3,Critical,22/02/22,25/11/23
Reports Crm Relief Management,Health Care,"As a user, I want to reports crm relief management so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-87,Wards - Doctors Management,Done,P1,Critical,08/01/22,27/12/23
Masters Tariff Definitions Service,Health Care,"As a user, I want to masters tariff definitions service so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-107,Dynamic Forms Management,In Progress,P1,Critical,01/01/22,31/12/23
Tariff Definitions Service Tariff,Health Care,"As a user, I want to tariff definitions service tariff so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-103,Digital OP Management,Done,P1,Critical,09/02/22,24/12/23
Blood Bag Issue Blood,Health Care,"As a user, I want to blood bag issue blood so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-185,Digital dietician Management,In Progress,P4,Low,01/07/22,13/04/23
View Request Status Forms,Health Care,"As a user, I want to view request status forms so that the related functionality works as expected.","Given a form is required, when the user fills and submits it, then the system should validate inputs and store them successfully.",HC-208,AT(Admission Module),To Do,P1,Critical,24/01/22,31/12/23
Employee Profile Informational View,Health Care,"As a user, I want to employee profile informational view so that the related functionality works as expected.","Given a form is required, when the user fills and submits it, then the system should validate inputs and store them successfully.",HC-238,Dynamic Forms Management,Done,P1,Critical,10/01/22,31/12/23
Role Resource Item Dept,Health Care,"As a user, I want to role resource item dept so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-187,OP Billing Management,To Do,P1,Critical,02/01/22,31/12/23
Billing Execution Collection Invoice,Health Care,"As a user, I want to billing execution collection invoice so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-73,OP Billing Management,Done,P1,Critical,03/01/22,30/12/23
Billing Execution Collection On,Health Care,"As a user, I want to billing execution collection on so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-186,Emergency Management,To Do,P4,Low,05/05/23,07/01/22
Masters Tax Definitions Tax,Health Care,"As a user, I want to masters tax definitions tax so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-128,Digital OP Management,In Progress,P4,Low,05/01/23,13/05/22
Role Resource Item Ward,Health Care,"As a user, I want to role resource item ward so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-291,Digital dietician Management,Done,P1,Critical,02/01/22,31/12/23
Consultant Dashboard My Pending,Health Care,"As a user, I want to consultant dashboard my pending so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-90,Wards - Doctors Management,In Progress,P1,Critical,02/01/22,30/12/23
Daycare Dashboard Others Bedside,Health Care,"As a user, I want to daycare dashboard others bedside so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-120,IP Digital,To Do,P2,Critical,05/04/22,30/12/23
Emergency Masters Parameter Master,Health Care,"As a user, I want to emergency masters parameter master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-163,Digital dietician Management,Done,P1,Critical,12/01/22,31/12/23
Reports View Reports Collection,Health Care,"As a user, I want to reports view reports collection so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-95,Ward - Nursing,In Progress,P1,Critical,06/01/22,25/12/23
Radiology Transactions Modality Dashboard,Health Care,"As a user, I want to radiology transactions modality dashboard so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-161,Wards - Doctors Management,In Progress,P1,Critical,01/01/22,31/12/23
Radiology Transactions Report Dispatch,Health Care,"As a user, I want to radiology transactions report dispatch so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-285,Dynamic Forms Management,To Do,P2,Low,26/01/22,31/12/23
Nurse Dashboard Others Bedside,Health Care,"As a user, I want to nurse dashboard others bedside so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-58,Blood Bank Management,To Do,P1,Critical,06/01/22,30/12/23
Wards Dashboard Others Bedside,Health Care,"As a user, I want to wards dashboard others bedside so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-50,Digital dietician Management,To Do,P2,Critical,31/01/22,26/12/23
Role Resource Item Lab,Health Care,"As a user, I want to role resource item lab so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-106,Emergency Management,In Progress,P1,Critical,04/01/22,24/12/23
Billing Execution Bulk Upload,Health Care,"As a user, I want to billing execution bulk upload so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-100,Digital OP Management,In Progress,P1,Critical,29/01/22,31/12/23
Role Resource Item Bb,Health Care,"As a user, I want to role resource item bb so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-264,AT(Admission Module),To Do,P1,Critical,15/05/22,24/10/23
Consultant Dashboard Prescription View,Health Care,"As a user, I want to consultant dashboard prescription view so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-289,AT(Admission Module),In Progress,P1,Critical,04/01/22,31/12/23
Consultant Dashboard Raise Request,Health Care,"As a user, I want to consultant dashboard raise request so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-118,AT(Admission Module),In Progress,P1,Critical,15/01/22,29/12/23
Doctor Activities Prescription View,Health Care,"As a user, I want to doctor activities prescription view so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-247,Dynamic Forms Management,To Do,P1,Critical,22/02/22,23/12/23
Nurse Activities Prescription View,Health Care,"As a user, I want to nurse activities prescription view so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-213,Digital dietician Management,To Do,P1,Critical,05/02/22,28/12/23
View Request Status Radiology,Health Care,"As a user, I want to view request status radiology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-297,Digital OP Management,To Do,P2,Critical,22/01/22,31/12/23
Dicharge,Health Care,"As a user, I want to dicharge so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-197,Wards - Doctors Management,In Progress,P4,Low,25/12/23,12/12/22
Role Resource Item Ahc,Health Care,"As a user, I want to role resource item ahc so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-152,AT(Admission Module),To Do,P1,Critical,15/05/22,24/10/23
Role Resource Item Hr,Health Care,"As a user, I want to role resource item hr so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-250,AT(Admission Module),Done,P4,Low,09/07/23,10/10/23
Dynamicqueue List Of Ahc,Health Care,"As a user, I want to dynamicqueue list of ahc so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-287,Wards - Doctors Management,In Progress,P1,Critical,11/01/22,13/12/23
Consultant Dashboard Others Bedside,Health Care,"As a user, I want to consultant dashboard others bedside so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-233,Laboratory Management,In Progress,P4,Low,08/01/23,21/11/22
Reports Mis Reports Employee,Health Care,"As a user, I want to reports mis reports employee so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-226,Dynamic Forms Management,To Do,P4,Low,02/07/22,30/05/23
Masters Service Definitions Location,Health Care,"As a user, I want to masters service definitions location so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-167,ES(Appointment),Done,P1,Critical,01/01/22,31/12/23
Mm Pharmacy Crm Cssd,Health Care,"As a user, I want to mm pharmacy crm cssd so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-235,OP-Wards,To Do,P3,High,17/09/22,27/10/23
Service Definitions Location Service,Health Care,"As a user, I want to service definitions location service so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-274,Emergency Management,To Do,P1,Critical,09/01/22,29/12/23
Role Resource Item Billing,Health Care,"As a user, I want to role resource item billing so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-127,AT(Admission Module),To Do,P1,Critical,10/02/22,27/12/23
Role Resource Item Biochemistry,Health Care,"As a user, I want to role resource item biochemistry so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-204,Laboratory Management,To Do,P2,Critical,19/01/22,30/12/23
Role Resource Item Pharmacy,Health Care,"As a user, I want to role resource item pharmacy so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-51,Dynamic Forms Management,Done,P3,High,10/01/22,31/12/23
Role Resource Item Radiology,Health Care,"As a user, I want to role resource item radiology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-75,AT(Admission Module),In Progress,P1,Critical,03/01/22,29/12/23
Role Resource Item Technician,Health Care,"As a user, I want to role resource item technician so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-267,OP-Wards,In Progress,P1,Critical,02/01/22,30/12/23
Blood Donation Donor Visit,Health Care,"As a user, I want to blood donation donor visit so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-112,Digital dietician Management,Done,P1,Critical,06/05/22,25/12/23
Master Donar Eligibility Level,Health Care,"As a user, I want to master donar eligibility level so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-162,Digital dietician Management,Done,P3,Critical,26/03/22,31/12/23
Master List Of Values,Health Care,"As a user, I want to master list of values so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-70,Registration Management,Done,P1,Critical,03/02/22,28/12/23
Consultant Dashboard Patient History,Health Care,"As a user, I want to consultant dashboard patient history so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-268,Dynamic Forms Management,Done,P1,Critical,29/01/22,31/12/23
Doctor Dashboard Patient History,Health Care,"As a user, I want to doctor dashboard patient history so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-175,OP-Wards,In Progress,P1,Critical,02/01/22,31/12/23
Nurse Activities Nurse Notes,Health Care,"As a user, I want to nurse activities nurse notes so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-220,Ward - Nursing,To Do,P1,Critical,01/05/22,28/10/23
General Masters Lov Master,Health Care,"As a user, I want to general masters lov master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-176,Wards - Doctors Management,To Do,P3,Critical,04/01/22,31/12/23
Reports Print Duplicate Bills,Health Care,"As a user, I want to reports print duplicate bills so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-52,Digital OP Management,In Progress,P1,Critical,02/01/22,27/12/23
Reports Print Original Bills,Health Care,"As a user, I want to reports print original bills so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-94,OP Billing Management,In Progress,P1,Critical,02/01/22,29/12/23
Role Resource Item At,Health Care,"As a user, I want to role resource item at so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-292,Digital dietician Management,To Do,P4,Low,02/01/23,14/11/23
Role Resource Item Hod,Health Care,"As a user, I want to role resource item hod so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-97,IP Digital,To Do,P4,Low,30/11/22,21/11/22
Role Resource Item Microbiology,Health Care,"As a user, I want to role resource item microbiology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-278,Laboratory Management,To Do,P2,Critical,19/01/22,29/12/23
Role Resource Item Ot,Health Care,"As a user, I want to role resource item ot so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-92,Dynamic Forms Management,Done,P4,Low,06/01/22,28/11/22
Role Resource Item Payroll,Health Care,"As a user, I want to role resource item payroll so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-153,ES(Appointment),To Do,P2,Critical,14/01/22,09/12/23
Mrd Request Patient History,Health Care,"As a user, I want to mrd request patient history so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-266,Digital OP Management,To Do,P1,Critical,13/02/22,31/12/23
Mrd Worklist Patient History,Health Care,"As a user, I want to mrd worklist patient history so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-280,Wards - Doctors Management,Done,P1,Critical,07/01/22,31/12/23
Employee Profile Reporting Designation,Health Care,"As a user, I want to employee profile reporting designation so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-115,Ward - Nursing,Done,P3,Critical,26/02/22,29/12/23
Reports Mis Reports Monthly,Health Care,"As a user, I want to reports mis reports monthly so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-191,Dynamic Forms Management,To Do,P4,Low,23/07/23,06/07/22
Masters Composite Service Definitions,Health Care,"As a user, I want to masters composite service definitions so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-157,OP Billing Management,To Do,P1,Critical,03/01/22,31/12/23
Masters Others Other Location,Health Care,"As a user, I want to masters others other location so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-248,Dynamic Forms Management,To Do,P1,Critical,30/01/22,18/12/23
Reports Admin Reports Discount,Health Care,"As a user, I want to reports admin reports discount so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-55,Laboratory Management,Done,P1,Critical,07/01/22,26/12/23
Lab Radiology Days Tat,Health Care,"As a user, I want to lab radiology days tat so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-223,OP-Wards,To Do,P4,Low,17/06/23,22/06/23
Dashboards Common Recovery Room,Health Care,"As a user, I want to dashboards common recovery room so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-217,AT(Admission Module),Done,P1,Critical,12/01/22,29/12/23
Dashboards Common Scrubnurse Technician,Health Care,"As a user, I want to dashboards common scrubnurse technician so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-198,Emergency Management,To Do,P1,High,10/01/22,14/12/23
Role Resource Item Consultant,Health Care,"As a user, I want to role resource item consultant so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-210,OP-Wards,Done,P2,Critical,02/01/22,28/12/23
Role Resource Item Genetics,Health Care,"As a user, I want to role resource item genetics so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-252,AT(Admission Module),To Do,P4,Low,27/05/23,08/12/23
Role Resource Item Histopathology,Health Care,"As a user, I want to role resource item histopathology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-203,Blood Bank Management,Done,P1,Critical,05/04/22,29/12/23
Role Resource Item Mm,Health Care,"As a user, I want to role resource item mm so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-56,IP Digital,Done,P4,Low,05/04/23,15/10/23
Mastersetup Map Machine Visit,Health Care,"As a user, I want to mastersetup map machine visit so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-134,Digital OP Management,Done,P4,Critical,25/01/22,04/12/23
Bed Booking View Reservation,Health Care,"As a user, I want to bed booking view reservation so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-78,Dynamic Forms Management,Done,P4,Low,21/10/23,28/02/23
Blood Donation Blood Collection,Health Care,"As a user, I want to blood donation blood collection so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-129,Ward - Nursing,To Do,P3,Critical,05/09/22,28/12/23
Blood Donation Component Preparation,Health Care,"As a user, I want to blood donation component preparation so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-219,Blood Bank Management,In Progress,P1,Critical,13/01/22,29/12/23
View Consolidated View Of,Health Care,"As a user, I want to view consolidated view of so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-221,Blood Bank Management,To Do,P2,Critical,14/01/22,29/12/23
Daycare Nurse Activities Surgical,Health Care,"As a user, I want to daycare nurse activities surgical so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-286,Digital dietician Management,In Progress,P3,Critical,05/03/22,16/12/23
Search Search With Group,Health Care,"As a user, I want to search search with group so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-270,ES(Appointment),To Do,P1,Critical,10/01/22,31/12/23
Emergency Masters Conditions Master,Health Care,"As a user, I want to emergency masters conditions master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-284,AT(Admission Module),To Do,P1,Critical,12/01/22,31/12/23
View Request Status Blood,Health Care,"As a user, I want to view request status blood so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-243,ES(Appointment),Done,P2,Critical,14/01/22,07/12/23
View Request Status Other,Health Care,"As a user, I want to view request status other so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-145,IP Digital,In Progress,P1,Critical,08/01/22,28/12/23
General Masters Holidays Master,Health Care,"As a user, I want to general masters holidays master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-265,ES(Appointment),In Progress,P2,Critical,04/01/22,31/12/23
Reports Mis Reports Manpower,Health Care,"As a user, I want to reports mis reports manpower so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-86,Dynamic Forms Management,Done,P4,Low,27/06/22,26/12/23
